Quantity,Designator,Comment,Footprint,Description

"2","C1, C2","100nF X2","RADIAL-10MM","Capacitor X2 275V"
"7","C3, C4, C6, C7, C8, C9, C10","100nF","0402_[1005]","Capacitor"
"1","C5","4.7uF","0805_[2012]","Capacitor"
"2","C11, C12","1nF","0603_[1608]","Capacitor"
"1","J1","~ AC1 ~","CON_WIRE_SCREW_2x1_5MM_THD","Header, 2-Pin"
"1","J2","~ AC2 ~","CON_WIRE_SCREW_2x1_5MM_THD","Header, 2-Pin"
"1","J3","ADC","CON_6P_WAGO_3.5mm","Header, 3-Pin, Dual row"
"2","R1, R7","330R","0402_[1005]","Resistor"
"15","R2, R5, R15, R16, R17, R18, R19, R20, R21, R23, R25, R31, R32, R33, R34","33R","0402_[1005]","Resistor"
"2","R3, R9","470R 2W","2512_[6432]","Resistor 300V (Walsin WF25P271)"
"2","R4, R10","100R 2W","2512_[6432]","Resistor 2W 300V (Walsin WF25P471)"
"2","R6, R11","100k 1W","2512_[6432]","Resistor 1W 200V"
"4","R8, R22, R24, R26","10k","0402_[1005]","Resistor"
"3","R12, R13, R14","4k7","0402_[1005]","Resistor"
"4","R27, R29, R35, R37","0R","0402_[1005]","Resistor"
"6","R28, R30, R36, R38, R39, R40","NP","0402_[1005]","Resistor"
"2","U1, U4","MOC3043S","SOIC6_OPTO","Opto-triac"
"2","U2, U5","T410-600B-TR","TO-252_D2PAK_LARGEPAD","triac"
"1","U3","SN74HC00DR","SOIC14","Quad 2-Input Positive-NAND Gates, D0014A, LARGE T&R"
"1","U6","Wemos D1 Module","WEMOS_D1","ComponetDescritions (altrenative1; alternativ2)"
"1","U7","ADS1015IDGSR","MSOP50P490X110-10P","12-Bit ADC with Integrated Multiplexer, PGA, Comparator, Oscillator, and Reference, -40 to 125 degC, 10-pin SOP (DGS10), Green (RoHS & no Sb/Br)"
"2","VR1, VR2","S14K320","VAR_DISC_7.5MM_THD","ComponetDescritions (altrenative1; alternativ2)"
