Designator, Center-X(mm), Center-Y(mm),  Layer,
R40       , 38.7321,    20.4242,     360   ,  Top, 
R39       , 38.7395,    17.6729,     360   ,  Top, 
C12       , 2.2498 ,    28.0000,     180   ,  Top, 
C11       , 72.5002,    15.7500,     360   ,  Top, 
J3        , 45.2500,    15.7500,     90    ,  Top, 
VR2       , 62.1500,    55.8250,     360   ,  Top, 
VR1       , 24.1500,    55.8250,     360   ,  Top, 
U7        , 31.0000,    15.2500,     90    ,  Top, 
U6        , 18.3900,    16.1800,     270   ,  Top, 
U5        , 64.7375,    46.5750,     360   ,  Top, 
U4        , 48.1500,    37.3250,     180   ,  Top, 
U3        , 19.7500,    17.2500,     270   ,  Top, 
U2        , 26.7375,    46.5750,     360   ,  Top, 
U1        , 10.1500,    37.3250,     180   ,  Top, 
R38       , 37.2432,    16.2432,     270   ,  Top, 
R37       , 38.7432,    16.7432,     360   ,  Top, 
R36       , 37.2432,    18.9932,     270   ,  Top, 
R35       , 38.7432,    19.4932,     360   ,  Top, 
R34       , 34.7432,    16.7432,     180   ,  Top, 
R33       , 34.7432,    19.4932,     180   ,  Top, 
R32       , 34.7500,    14.5000,     180   ,  Top, 
R31       , 34.7500,    11.7500,     180   ,  Top, 
R30       , 37.2500,    14.0000,     270   ,  Top, 
R29       , 38.7500,    14.5000,     360   ,  Top, 
R28       , 36.2500,    11.2500,     270   ,  Top, 
R27       , 38.7500,    11.7500,     360   ,  Top, 
R26       , 12.0000,    25.2500,     270   ,  Top, 
R25       , 14.7500,    7.2500 ,     270   ,  Top, 
R24       , 14.5000,    25.2500,     270   ,  Top, 
R23       , 17.0000,    7.2500 ,     270   ,  Top, 
R22       , 17.0000,    25.2500,     270   ,  Top, 
R21       , 19.7500,    7.2500 ,     270   ,  Top, 
R20       , 19.7500,    25.2500,     270   ,  Top, 
R19       , 22.2500,    7.2500 ,     270   ,  Top, 
R18       , 22.2500,    25.2500,     270   ,  Top, 
R17       , 24.7500,    7.5000 ,     270   ,  Top, 
R16       , 24.7500,    25.2500,     270   ,  Top, 
R15       , 27.2500,    7.5000 ,     270   ,  Top, 
R14       , 19.7500,    9.5000 ,     90    ,  Top, 
R13       , 22.2500,    9.5000 ,     90    ,  Top, 
R12       , 26.4432,    17.0500,     180   ,  Top, 
R11       , 50.7000,    48.0750,     270   ,  Top, 
R10       , 44.6500,    60.9000,     180   ,  Top, 
R9        , 41.6500,    48.0750,     270   ,  Top, 
R8        , 18.7500,    23.0000,     270   ,  Top, 
R7        , 45.6100,    30.0000,     270   ,  Top, 
R6        , 12.7000,    48.0750,     270   ,  Top, 
R5        , 19.7500,    23.0000,     90    ,  Top, 
R4        , 6.6500 ,    60.9000,     180   ,  Top, 
R3        , 3.6500 ,    48.0750,     270   ,  Top, 
R2        , 22.2500,    23.0000,     90    ,  Top, 
R1        , 7.6100 ,    29.7500,     270   ,  Top, 
J2        , 62.4002,    65.8250,     180   ,  Top, 
J1        , 24.4002,    65.8250,     180   ,  Top, 
C10       , 36.2432,    16.2432,     90    ,  Top, 
C9        , 36.2432,    18.9932,     90    ,  Top, 
C8        , 31.0000,    20.0000,     270   ,  Top, 
C7        , 36.2500,    14.0000,     90    ,  Top, 
C6        , 37.2500,    11.2500,     90    ,  Top, 
C5        , 61.9000,    11.5000,     270   ,  Top, 
C4        , 60.4000,    11.5000,     270   ,  Top, 
C3        , 14.0040,    19.6500,     90    ,  Top, 
C2        , 46.6500,    55.5750,     180   ,  Top, 
C1        , 8.6500 ,    55.5750,     180   ,  Top, 
